emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
Geophysicist/field seismologist,9,FL,OWN,128892,Verified,17.98,,Not Verified,29.2,0,,1990,0,49,3,127535,118094,2,4,,1,1146,4,8,10,19,1,2,7,44040,12,3,7,4,84.8,0,0,debt_consolidation,individual,25275,60,6.72,549.46,C,E2,Feb-2025,Current,fractional,DirectPay,2957.85,799.9,8410.83,1425.64,146.05
Arts development officer,4,CA,RENT,60864,Not Verified,11.98,173317.0,Source Verified,17.51,1,33.0,1990,1,16,2,238037,170377,0,0,,2,477,2,5,15,10,0,0,6,7594,7,8,4,4,71.5,0,0,medical,individual,6672,36,6.7,113.08,C,E1,Aug-2025,Current,fractional,DirectPay,4600.88,485.2,4882.61,170.39,44.1
Chiropodist,9,AZ,OWN,154254,Source Verified,26.73,113843.0,Source Verified,22.61,1,,1997,0,10,10,63300,44026,2,1,,1,4947,6,0,10,1,1,0,1,20696,22,12,2,4,79.5,0,0,medical,joint,43921,36,13.04,2311.63,D,E2,Apr-2023,Current,fractional,DirectPay,33729.94,1054.78,21219.63,3785.43,455.22
Sport and exercise psychologist,1,CA,MORTGAGE,170145,Not Verified,8.28,249739.0,Verified,26.95,0,58.0,1988,8,30,20,165194,17348,1,2,,0,531,4,8,22,12,0,1,1,10974,16,3,3,4,79.4,0,0,small_business,individual,10402,60,12.99,260.05,D,D2,Aug-2023,Current,whole,DirectPay,5292.26,4342.85,2021.55,714.54,270.31
Learning mentor,6,NC,RENT,34834,Not Verified,30.49,150262.0,Not Verified,,0,21.0,2000,9,38,11,265751,253233,1,2,,0,18,5,9,22,18,0,1,5,2242,8,9,0,3,92.8,0,0,vacation,individual,21366,36,14.79,496.88,E,C1,Jul-2024,Current,fractional,DirectPay,10148.14,16269.25,7598.19,2383.34,350.85
"Conservation officer, nature",0,CA,OWN,168976,Verified,37.26,236474.0,Verified,,0,,2013,4,41,6,187438,26854,2,3,56.0,0,241,5,11,11,11,1,2,2,45334,3,2,5,4,79.1,0,0,medical,joint,49520,36,15.42,2606.32,D,A1,Oct-2025,Current,fractional,Cash,2499.62,31103.17,22315.73,9525.39,446.17
Radio broadcast assistant,4,TX,MORTGAGE,125843,Source Verified,21.53,,Source Verified,25.64,0,19.0,1997,9,38,4,65173,35859,1,4,,2,329,1,10,2,5,1,1,1,36379,21,10,4,2,91.8,0,0,small_business,individual,10413,60,16.58,548.05,E,A1,Dec-2024,Current,fractional,Cash,6716.04,7634.29,7809.22,541.83,294.8
Freight forwarder,0,AZ,OWN,96321,Source Verified,25.07,100800.0,Not Verified,,0,,1995,1,41,9,268991,144490,0,2,,2,2626,1,2,13,4,0,1,4,31394,14,3,7,1,90.8,0,0,credit_card,individual,22975,60,20.73,741.13,E,C2,Nov-2024,Current,whole,Cash,15697.05,20349.13,13555.64,614.54,269.94
"Designer, exhibition/display",8,CA,OWN,47679,Not Verified,5.64,248213.0,Verified,12.85,0,,2011,9,38,19,216386,155219,0,1,,1,1694,5,13,6,1,1,2,1,2855,13,8,0,3,97.3,0,0,moving,individual,39440,60,20.21,1065.95,A,A2,Feb-2025,Current,whole,DirectPay,3861.01,34491.92,5544.69,82.51,214.85
Secretary/administrator,8,NY,OWN,47366,Not Verified,13.94,,Source Verified,24.08,0,,2010,8,15,24,125228,87252,2,4,69.0,0,4275,3,11,18,4,1,1,4,3735,19,3,9,0,91.3,0,1,vacation,joint,21600,36,10.39,423.53,D,B2,Jun-2024,Current,whole,DirectPay,1592.51,106.45,11735.05,2870.66,34.06
Writer,6,TX,MORTGAGE,97804,Not Verified,30.86,,Source Verified,5.73,0,32.0,2010,1,44,16,223263,71704,2,1,,0,2412,5,12,3,10,0,2,5,24521,12,12,3,3,83.9,0,0,credit_card,individual,34095,36,18.46,668.53,A,A1,Jul-2025,Current,whole,Cash,30085.48,3610.93,1523.08,4079.59,191.37
Advertising copywriter,5,NJ,RENT,167870,Verified,26.38,204329.0,Not Verified,11.65,0,32.0,2014,5,12,7,60513,52813,0,1,,1,3183,3,8,22,18,0,0,1,41460,8,5,0,2,89.8,0,0,moving,individual,16590,60,21.77,460.83,E,A2,Feb-2024,Current,fractional,DirectPay,7538.26,12879.33,10959.75,999.68,320.16
Clinical embryologist,3,TX,MORTGAGE,179250,Verified,43.12,,Not Verified,13.66,2,19.0,2007,9,48,12,52301,44508,1,4,,0,376,0,4,2,13,0,1,1,31029,18,7,6,1,92.9,0,0,home_improvement,joint,5939,36,9.85,129.11,E,C1,May-2023,Late (16-30 days),whole,Cash,4462.29,1489.0,3957.35,114.75,218.56
"Pharmacist, hospital",2,TX,RENT,29504,Verified,39.27,,Not Verified,,1,3.0,2015,5,43,10,14649,12711,1,1,,2,2614,5,9,11,5,1,0,1,46025,20,12,9,0,90.5,0,0,home_improvement,individual,17709,60,21.2,310.68,C,A1,Sep-2023,Charged Off,fractional,DirectPay,4820.12,8465.75,11639.99,419.01,158.68
Police officer,5,OH,RENT,97555,Source Verified,9.26,,Not Verified,34.96,0,,1997,8,38,15,37569,24916,0,2,,2,3941,2,11,14,4,0,2,3,38463,22,1,9,4,70.3,0,0,medical,individual,24209,36,15.67,456.77,E,D2,Sep-2023,Fully Paid,whole,Cash,21125.7,7415.68,3743.3,1094.7,333.37
Best boy,3,IL,OWN,118082,Not Verified,23.58,,Not Verified,16.3,0,,1996,2,41,22,200466,51512,0,4,,1,2791,4,2,21,13,1,0,8,38586,8,11,3,2,92.0,0,0,moving,joint,34726,36,13.89,1157.53,A,A1,Aug-2025,Current,fractional,Cash,2314.85,31232.76,17534.01,6652.88,215.42
Industrial/product designer,5,CA,OWN,25685,Not Verified,10.71,154711.0,Verified,16.18,0,47.0,2004,1,9,3,10429,3807,0,4,,1,4767,6,14,0,11,0,2,2,25267,4,12,4,0,91.8,0,0,moving,joint,5140,60,11.54,155.76,A,C2,Jan-2026,Current,fractional,Cash,4829.0,4730.76,3056.05,960.04,69.88
Archivist,8,NY,RENT,129099,Source Verified,31.86,108576.0,Source Verified,,1,,2016,2,45,22,192471,61874,2,2,,1,4258,7,0,18,18,1,2,4,12673,10,7,0,0,88.6,0,0,credit_card,individual,38642,60,12.97,898.65,D,E1,Nov-2023,Current,fractional,Cash,18813.8,347.91,3503.42,6760.53,196.21
Local government officer,2,NC,RENT,55407,Source Verified,22.08,193306.0,Not Verified,,0,,1990,5,39,24,23147,1633,2,1,,1,2519,2,12,10,9,0,2,1,32331,21,9,0,0,63.2,0,0,medical,joint,23913,60,14.06,1406.65,C,A1,Jan-2026,Current,whole,Cash,736.07,9133.79,7120.53,1394.75,39.61
"Surveyor, rural practice",3,NJ,OWN,162459,Verified,37.56,55586.0,Source Verified,22.21,1,,2000,4,32,23,155518,152941,0,3,,0,2457,0,14,6,1,1,2,7,21019,16,5,2,1,83.4,0,0,vacation,joint,43184,36,12.99,1107.28,C,C2,Mar-2026,Late (16-30 days),fractional,Cash,28277.6,14188.18,4068.86,8494.69,125.71
"Engineer, biomedical",8,AZ,MORTGAGE,162422,Verified,22.64,197292.0,Not Verified,16.67,0,,2006,7,22,2,12476,7070,0,0,,0,1409,3,10,5,2,1,1,8,16140,5,13,6,3,78.2,0,0,vacation,joint,27887,60,22.01,961.62,A,A1,Mar-2026,Current,fractional,DirectPay,19627.21,13189.83,3395.46,1120.67,13.01
Actor,9,NY,OWN,25643,Verified,43.76,84047.0,Verified,28.39,0,,2009,6,45,14,67020,60030,2,4,,0,2817,3,11,11,13,0,2,1,42317,23,8,4,3,77.6,1,0,credit_card,joint,22663,36,18.83,503.62,A,C1,Aug-2023,Late (31-120 days),fractional,DirectPay,22099.15,7756.91,13976.24,426.39,434.87
"Copywriter, advertising",8,TX,RENT,164162,Source Verified,31.66,154939.0,Verified,17.63,0,,2011,7,38,22,110225,70555,1,2,,0,3965,5,10,6,14,0,0,1,12334,10,10,2,4,70.9,0,0,credit_card,individual,9181,36,20.6,286.91,C,C1,Jan-2024,Current,whole,DirectPay,7640.22,1497.93,4162.92,299.16,377.7
Commissioning editor,5,AZ,OWN,154504,Not Verified,35.79,238883.0,Verified,,0,,1998,5,45,16,270365,17647,0,4,,1,279,2,0,3,19,1,2,4,2477,21,11,9,4,70.4,0,0,small_business,individual,27755,60,10.11,1982.5,D,A2,Nov-2024,Current,fractional,DirectPay,9086.86,21061.97,9509.56,2482.8,394.78
"Nurse, children's",7,CA,RENT,167968,Verified,21.61,,Verified,,1,,1985,1,38,9,110993,88290,0,2,,2,3003,2,8,1,12,1,2,4,45845,10,14,8,1,71.2,0,0,debt_consolidation,individual,33540,60,8.56,1397.5,A,D2,Oct-2024,Current,fractional,DirectPay,14195.04,9172.59,21198.35,4526.64,12.99
Manufacturing systems engineer,10,AZ,RENT,75063,Not Verified,27.73,,Verified,,0,21.0,2011,8,31,3,113095,84662,0,3,,0,2360,5,6,4,7,1,0,8,2734,19,14,1,4,74.2,0,0,medical,individual,5365,60,17.71,243.86,B,B1,Jan-2026,Fully Paid,whole,Cash,2894.31,4675.29,3708.73,828.94,207.05
Press photographer,8,IL,RENT,123132,Source Verified,37.31,,Source Verified,,0,,1991,3,15,8,164212,127209,1,2,,2,3163,2,1,21,4,1,2,7,13029,7,10,7,3,86.6,0,0,home_improvement,individual,38271,36,18.49,2126.17,D,A1,Sep-2023,Current,fractional,Cash,3766.33,29265.2,17651.24,148.94,102.91
Personal assistant,4,IL,OWN,70936,Verified,29.86,128650.0,Verified,,0,,2000,8,49,18,65253,64820,1,2,,0,3454,0,11,1,8,0,0,6,35814,6,3,2,2,73.2,0,0,small_business,individual,4196,60,22.1,113.41,B,E1,Sep-2025,Late (16-30 days),fractional,DirectPay,2101.37,3908.55,2491.83,555.65,437.76
"Engineer, production",5,NY,MORTGAGE,125460,Source Verified,44.09,229752.0,Not Verified,8.27,1,,2010,9,44,12,177548,28404,1,1,,2,4474,7,10,23,13,1,2,8,47209,14,4,3,3,73.7,0,0,vacation,joint,33019,36,8.65,805.34,E,A2,Oct-2024,Late (16-30 days),fractional,DirectPay,6921.77,1705.04,19953.41,5456.87,194.51
Sport and exercise psychologist,2,NC,MORTGAGE,120594,Verified,5.99,,Verified,,0,,2010,5,17,5,41164,27964,2,1,,0,3753,0,5,20,17,1,0,2,31471,7,3,4,2,61.9,0,0,small_business,individual,44704,60,14.45,993.42,B,E2,May-2023,Current,whole,Cash,13996.82,15806.02,6770.14,7367.77,53.55
"Librarian, public",3,FL,RENT,92381,Source Verified,38.51,157596.0,Verified,22.12,0,50.0,2005,2,19,3,236698,32855,0,0,22.0,0,4488,1,9,1,5,1,2,6,42924,24,2,1,4,63.5,0,1,medical,individual,29075,36,16.19,1530.26,A,D1,Sep-2024,Current,whole,Cash,6156.47,21527.86,12995.09,4516.27,9.91
"Biochemist, clinical",7,NJ,RENT,79031,Source Verified,24.25,109425.0,Verified,25.45,1,54.0,1995,6,32,22,206321,11525,1,0,,1,2176,0,3,4,1,0,0,7,26903,12,9,5,4,98.5,0,0,medical,individual,36560,36,8.61,1661.82,D,A2,Jan-2025,Fully Paid,fractional,Cash,29566.49,33734.75,16422.87,441.58,134.78
Plant breeder/geneticist,4,IL,RENT,51726,Verified,7.23,160463.0,Source Verified,,0,37.0,2004,7,33,16,53627,21506,0,0,,2,1247,0,11,22,15,1,2,5,14421,18,4,8,4,89.9,0,0,credit_card,joint,13224,60,20.42,307.53,D,D1,Mar-2026,Fully Paid,fractional,DirectPay,9313.49,1416.49,3418.01,1467.91,247.86
Volunteer coordinator,6,FL,OWN,157252,Verified,7.33,,Verified,,0,,2010,3,27,17,242338,13279,0,2,,2,1629,4,4,21,11,1,1,8,5506,22,10,1,3,75.0,0,0,small_business,joint,19263,36,20.76,601.97,B,D2,Jun-2025,Current,fractional,DirectPay,1920.84,3420.68,7239.7,1152.52,209.09
Company secretary,7,OH,RENT,93079,Not Verified,38.92,,Verified,,0,,2008,1,28,21,239162,221157,1,1,,0,999,5,13,3,18,0,2,1,44539,12,3,0,0,70.1,0,0,small_business,joint,5152,36,11.49,396.31,A,A1,May-2024,Late (16-30 days),fractional,DirectPay,2707.26,188.4,1276.92,787.4,298.81
"Designer, textile",4,FL,MORTGAGE,152540,Verified,10.31,177492.0,Not Verified,10.35,0,24.0,2017,7,19,5,295768,77077,0,2,,2,2426,6,6,15,3,0,2,5,23561,3,6,7,1,86.0,0,0,home_improvement,joint,14441,60,23.67,497.97,B,D1,Apr-2024,Current,whole,DirectPay,8660.67,5926.57,8762.05,2162.58,473.02
"Scientist, forensic",0,AZ,RENT,84414,Source Verified,21.02,,Not Verified,,0,,1993,5,35,5,284354,120632,1,4,,2,622,3,14,3,18,0,1,4,43118,8,2,9,0,91.6,0,0,moving,joint,37511,36,14.17,1013.81,D,B2,May-2023,Fully Paid,fractional,DirectPay,24191.96,24248.44,28941.43,5774.94,198.72
Audiological scientist,3,OH,MORTGAGE,82649,Verified,18.35,,Not Verified,,2,,1994,9,26,9,293751,171711,1,0,,0,1641,0,10,7,8,1,0,2,7244,5,6,4,1,63.4,0,0,medical,joint,41283,36,5.57,878.36,A,B2,Aug-2023,Late (16-30 days),fractional,DirectPay,39869.77,11220.16,20516.3,6266.35,47.37
Seismic interpreter,1,FL,OWN,152993,Source Verified,18.12,,Source Verified,,0,,1995,6,26,10,37037,6383,2,2,,2,2760,7,1,18,15,0,2,7,19275,5,12,8,1,94.6,0,0,home_improvement,individual,18192,60,8.21,535.06,C,E1,Jun-2023,Fully Paid,fractional,Cash,10163.63,11153.01,12916.37,3158.85,74.52
"Solicitor, Scotland",8,NJ,OWN,67505,Source Verified,16.42,,Not Verified,,0,58.0,2011,6,19,3,198541,37208,2,0,38.0,0,1816,6,3,18,10,0,0,7,19265,4,1,2,4,61.3,0,0,small_business,individual,20608,36,13.35,1212.24,E,A2,Mar-2024,Current,whole,DirectPay,17232.29,9864.35,8554.01,1694.08,494.69
Animal nutritionist,0,NJ,RENT,31656,Source Verified,19.57,81157.0,Source Verified,23.45,0,3.0,2003,3,23,13,16076,13755,1,4,,0,411,4,12,23,15,0,2,7,4769,23,11,9,3,95.6,0,0,home_improvement,joint,33210,36,10.9,1660.5,B,A1,Jul-2025,Current,fractional,DirectPay,12157.93,21372.86,20999.81,2924.37,116.4
"Accountant, chartered management",6,NC,MORTGAGE,100855,Verified,25.27,,Not Verified,32.52,0,,1987,4,11,21,58920,42206,1,3,,1,726,7,1,23,13,0,2,6,24105,3,13,6,0,78.6,0,0,medical,individual,42656,36,6.67,2509.18,C,D1,Aug-2024,Current,fractional,DirectPay,5020.18,425.67,23705.84,6105.03,311.07
"Designer, textile",9,NC,RENT,110261,Source Verified,40.03,,Not Verified,18.67,0,34.0,2010,6,35,2,171611,18236,1,2,,0,631,6,1,17,12,1,0,1,5100,11,1,9,0,80.4,0,0,moving,individual,30626,60,22.62,2355.85,D,E2,Sep-2024,Current,whole,Cash,27676.76,23008.54,8474.62,3699.01,110.16
Health service manager,9,PA,RENT,82679,Not Verified,38.25,,Not Verified,30.09,1,,2000,9,7,22,249499,119990,2,4,,0,4801,3,13,12,2,0,2,3,7230,19,13,7,4,98.0,0,0,other,individual,45503,60,5.85,798.3,D,B2,Sep-2023,Current,fractional,Cash,99.11,23201.96,27867.89,1138.69,266.39
Paediatric nurse,9,TX,RENT,97553,Source Verified,9.01,94174.0,Verified,,0,35.0,1986,3,37,24,222295,204623,2,0,,0,3314,5,10,7,4,1,0,9,49640,9,11,3,3,89.7,0,0,medical,joint,20256,36,20.93,361.71,B,D2,Jul-2024,Current,fractional,Cash,3428.16,11803.93,12974.95,105.29,218.12
"Administrator, charities/voluntary organisations",9,TX,OWN,63462,Source Verified,21.61,82338.0,Not Verified,23.59,0,,1996,5,33,12,171525,43189,0,0,,0,2088,5,3,1,14,0,1,1,6723,7,6,7,2,72.6,0,0,home_improvement,individual,29698,36,18.27,571.12,B,C2,Feb-2026,Fully Paid,whole,Cash,21177.5,14159.65,5337.83,5604.43,112.27
Amenity horticulturist,5,NJ,RENT,124922,Source Verified,10.69,58221.0,Not Verified,38.14,2,,2014,5,30,6,282053,178097,1,3,,2,4131,6,2,15,16,1,0,4,15636,24,6,4,4,72.5,0,0,credit_card,joint,10847,60,20.01,293.16,B,A2,Jan-2024,Late (16-30 days),fractional,Cash,8545.71,6260.16,6497.5,1698.9,62.19
Radio producer,8,NC,RENT,149766,Verified,20.36,158078.0,Not Verified,,1,,1994,1,19,24,242323,238044,0,4,,1,2611,4,13,15,6,0,1,5,11487,10,3,1,3,76.2,0,0,medical,individual,20808,60,8.21,1486.29,C,E1,Jul-2023,Late (16-30 days),whole,Cash,332.13,8966.06,5106.57,2399.61,464.91
Recycling officer,0,IL,RENT,46535,Not Verified,8.44,,Not Verified,,0,36.0,1998,0,48,2,101587,36547,2,3,,0,4322,2,0,23,5,0,1,6,8889,23,3,0,1,91.3,0,0,credit_card,individual,29641,36,23.95,548.91,E,C1,Oct-2025,Current,whole,DirectPay,18576.33,12033.21,22402.78,3629.9,112.18
Warden/ranger,7,PA,MORTGAGE,115758,Not Verified,27.33,190850.0,Source Verified,,0,,2007,0,48,14,80676,41235,1,4,4.0,1,963,6,5,1,15,1,1,7,47891,9,8,5,4,65.7,0,0,home_improvement,individual,44269,36,11.4,1702.65,E,A1,Aug-2023,Current,fractional,Cash,13095.25,39111.37,14338.94,2232.12,339.21
Graphic designer,9,NY,RENT,96733,Verified,32.92,,Source Verified,7.16,0,38.0,2003,4,15,17,136986,134573,1,0,,0,3448,2,14,13,17,0,2,9,28316,7,14,8,0,86.6,0,0,debt_consolidation,individual,3779,36,19.73,198.89,B,B2,Nov-2023,Fully Paid,whole,DirectPay,3569.3,705.37,2720.91,396.82,83.12
Civil Service administrator,6,IL,RENT,75070,Source Verified,6.86,,Not Verified,,0,,2008,8,7,8,159054,43640,2,4,81.0,0,3555,5,1,4,15,1,1,5,29922,21,7,4,1,99.8,0,0,medical,individual,29005,36,11.21,853.09,A,B2,Apr-2023,Current,fractional,DirectPay,9701.4,18033.0,14795.04,4925.47,189.7
Lobbyist,6,OH,RENT,135468,Source Verified,29.85,92466.0,Verified,,0,,2001,7,42,5,149645,90491,1,3,,2,571,2,10,22,6,0,1,6,5264,16,6,8,1,87.5,0,0,home_improvement,joint,2475,60,17.28,41.95,A,B1,Dec-2024,Current,fractional,Cash,1715.78,276.71,1243.74,1.02,232.5
Retail merchandiser,6,AZ,RENT,154558,Source Verified,24.71,,Not Verified,35.37,0,,2003,0,26,5,46825,36582,1,4,,1,2973,0,9,1,7,0,0,2,17374,24,10,4,4,69.3,0,0,credit_card,individual,16834,36,22.6,647.46,B,A2,Mar-2025,Current,whole,DirectPay,1918.41,16632.82,5462.64,2503.94,391.74
Learning mentor,3,TX,MORTGAGE,49769,Verified,35.58,99184.0,Source Verified,32.3,0,36.0,2017,4,5,15,118878,55677,1,2,,0,3892,7,9,4,2,1,1,2,34233,11,3,2,2,77.1,0,0,home_improvement,joint,16733,60,10.25,557.77,D,B1,Dec-2025,Current,whole,DirectPay,13674.61,5691.68,3905.22,3075.51,148.61
Race relations officer,8,OH,RENT,58059,Source Verified,25.35,201383.0,Not Verified,34.46,0,59.0,1989,9,25,17,194116,90220,2,1,,1,2843,1,3,15,19,1,1,3,27682,5,13,5,1,69.9,0,0,vacation,joint,42366,60,11.31,1210.46,E,B2,Mar-2025,Current,whole,Cash,17629.66,21307.2,29651.7,2280.96,94.57
Teaching laboratory technician,5,OH,MORTGAGE,83224,Not Verified,43.67,204699.0,Source Verified,34.02,0,24.0,1998,3,26,23,234854,154882,2,3,,2,376,7,12,5,2,0,1,4,12225,22,4,6,2,64.6,0,0,other,individual,19232,36,11.43,362.87,B,A1,Oct-2024,Fully Paid,whole,Cash,446.03,14308.69,14352.6,1694.24,32.7
Accounting technician,2,AZ,MORTGAGE,40713,Not Verified,40.37,80265.0,Source Verified,,0,,2000,2,41,7,162860,88873,2,4,,1,289,2,14,11,1,0,0,2,16204,1,1,9,2,76.7,0,0,home_improvement,individual,30080,36,11.02,1203.2,E,B2,Jul-2025,Current,whole,Cash,23344.48,3949.87,8600.78,5880.38,204.58
Ship broker,10,CA,OWN,140546,Source Verified,37.4,,Source Verified,37.77,0,53.0,1998,4,29,15,116662,8177,0,1,85.0,2,2126,2,6,9,11,1,0,3,28585,3,8,0,4,67.4,0,0,credit_card,individual,8896,36,18.11,206.88,C,E1,Oct-2023,Current,whole,DirectPay,204.51,5128.85,2224.85,488.7,451.08
"Teacher, special educational needs",2,NJ,MORTGAGE,72722,Source Verified,12.27,242287.0,Verified,27.97,0,39.0,2005,2,35,20,222249,198996,2,1,,1,4024,2,4,3,6,1,1,7,26029,3,8,9,1,86.5,0,0,home_improvement,individual,39705,60,5.18,992.62,D,B2,May-2023,Current,whole,Cash,35179.05,2761.27,15651.22,4485.33,344.52
Trading standards officer,4,TX,OWN,75943,Verified,33.01,,Source Verified,16.74,0,,1995,9,11,15,153821,123874,0,1,,1,1876,0,6,15,16,0,0,3,14916,17,8,6,2,97.4,0,0,other,individual,24415,60,22.93,659.86,E,A2,Jan-2024,Current,fractional,DirectPay,22082.08,6007.48,2826.71,1187.83,441.21
Radiation protection practitioner,6,NY,OWN,36729,Not Verified,28.9,,Not Verified,,0,45.0,2004,1,16,4,162717,88563,0,0,,1,4288,3,5,19,8,0,2,2,31394,23,13,7,4,94.9,0,0,debt_consolidation,individual,47766,36,20.35,1910.64,A,A1,Feb-2026,Current,whole,Cash,46598.85,19399.9,37448.05,2349.19,477.27
Retail manager,7,PA,RENT,76089,Source Verified,10.19,,Source Verified,,0,35.0,2014,8,41,18,164732,137281,1,2,,0,4208,5,12,20,4,0,1,8,37608,16,1,1,1,83.8,0,0,credit_card,individual,18137,36,23.12,625.41,D,A2,Jan-2025,Current,fractional,DirectPay,14161.78,15602.47,12940.59,2970.13,425.87
Airline pilot,9,CA,OWN,69086,Source Verified,39.45,97925.0,Source Verified,30.06,0,,2001,6,9,3,131715,20193,2,3,,0,969,4,14,16,16,0,2,4,36940,18,6,3,4,78.8,0,0,debt_consolidation,individual,49017,60,11.33,1195.54,C,D1,Feb-2024,Late (16-30 days),whole,DirectPay,38556.78,5904.54,22060.89,4576.14,419.1
Community pharmacist,2,NJ,MORTGAGE,42662,Verified,44.36,,Verified,13.8,2,17.0,2007,7,36,7,109747,97159,0,4,,2,472,1,5,4,12,0,1,9,5765,1,11,4,3,79.9,0,0,home_improvement,joint,36622,60,8.69,1525.92,D,E1,Sep-2023,Late (31-120 days),whole,Cash,35537.46,16711.13,26652.03,2820.81,394.09
Financial controller,9,NY,MORTGAGE,178391,Source Verified,32.96,,Source Verified,,0,,2014,5,6,3,221098,100523,1,0,,0,732,7,6,5,1,0,1,9,32143,10,12,4,0,97.5,0,0,debt_consolidation,joint,12055,60,22.99,602.75,D,A1,Oct-2023,Current,fractional,DirectPay,2113.59,2456.88,7552.66,1198.81,103.17
Dietitian,8,CA,RENT,148134,Source Verified,34.71,62034.0,Verified,,0,,2017,6,28,6,221365,170488,2,4,,0,966,1,2,20,6,1,1,5,21011,3,1,3,1,89.3,0,0,debt_consolidation,joint,46794,36,13.86,1418.0,D,C2,Nov-2023,Current,fractional,Cash,12112.04,45380.71,3043.97,7845.04,105.39
Regulatory affairs officer,6,PA,OWN,45655,Source Verified,13.87,,Not Verified,29.92,0,,1985,7,34,13,31779,14111,1,2,,1,2907,7,8,22,12,1,1,6,12520,17,4,6,1,71.6,0,0,home_improvement,joint,35236,60,17.82,607.52,E,A2,Oct-2023,Fully Paid,whole,DirectPay,33582.69,17313.76,13312.33,888.67,252.08
"Therapist, drama",8,NY,MORTGAGE,176039,Source Verified,12.16,188071.0,Verified,,0,5.0,2009,6,26,13,208989,63098,0,4,,0,4462,2,12,2,1,1,2,1,27973,13,3,9,1,69.2,0,0,moving,joint,15979,36,12.01,420.5,C,C1,Dec-2025,Current,whole,DirectPay,10086.52,10224.14,4246.58,2812.22,492.43
Risk manager,1,CA,OWN,68788,Source Verified,23.6,196519.0,Verified,,0,,2016,6,37,18,152276,57860,0,4,,2,4125,3,8,18,3,0,1,7,36164,1,10,9,3,99.9,0,0,other,individual,17204,60,23.26,409.62,B,B2,May-2023,Current,fractional,DirectPay,1922.82,16231.47,7880.73,991.13,434.67
Call centre manager,0,NC,MORTGAGE,67288,Verified,28.57,,Source Verified,,0,56.0,1987,8,41,24,84789,65060,0,3,,0,3317,0,13,12,18,0,0,7,17564,19,11,9,4,99.6,0,0,home_improvement,individual,6177,36,23.2,158.38,A,C1,Feb-2025,Current,whole,Cash,3108.07,3610.26,1089.53,842.89,401.19
"Designer, exhibition/display",8,OH,MORTGAGE,60409,Source Verified,41.38,194599.0,Verified,19.39,0,,1999,8,12,2,24528,6265,2,0,,1,3671,1,13,10,17,1,1,7,9421,9,5,0,3,63.4,0,0,debt_consolidation,joint,44821,60,10.6,3447.77,B,E1,Jan-2024,Current,fractional,DirectPay,1350.98,37562.42,33041.87,5351.95,440.89
"Designer, multimedia",10,FL,OWN,166381,Verified,17.69,228599.0,Not Verified,,1,,1994,5,32,20,246689,86151,1,2,,2,1861,0,5,8,8,1,0,1,31934,10,14,8,0,87.8,0,0,medical,individual,25736,60,9.34,643.4,C,B2,Nov-2024,Fully Paid,whole,Cash,4079.16,10719.97,4370.33,1791.94,239.86
Immigration officer,9,NY,OWN,76047,Not Verified,40.41,61718.0,Source Verified,32.24,0,8.0,2015,8,31,10,291990,97402,2,2,,0,1895,4,3,20,12,0,2,7,5024,13,1,4,4,93.9,1,0,vacation,individual,26779,60,9.0,478.2,D,C1,Nov-2023,Current,whole,Cash,16145.77,4446.03,943.06,1662.18,384.91
Sports coach,6,FL,MORTGAGE,46335,Source Verified,36.55,,Verified,34.49,0,43.0,2013,2,42,4,12878,11261,1,0,,1,3679,4,7,17,8,1,2,9,8131,8,7,5,2,84.2,0,1,moving,joint,10664,36,5.2,627.29,A,C1,Jul-2025,Late (16-30 days),fractional,Cash,10264.03,5266.27,3473.11,495.87,178.07
Arts administrator,6,IL,RENT,76165,Not Verified,15.43,,Not Verified,31.74,0,,2009,9,42,3,87129,62281,2,1,,1,4294,5,0,16,10,0,0,8,40435,13,11,2,3,72.5,0,0,small_business,individual,46956,60,22.94,1092.0,C,C1,Oct-2025,Late (16-30 days),whole,Cash,17736.78,4189.44,15909.34,4502.88,13.3
Licensed conveyancer,2,OH,RENT,107005,Source Verified,31.01,56346.0,Source Verified,,1,26.0,2014,5,44,23,140756,72505,0,0,,1,4045,6,12,17,9,1,1,3,32063,12,9,1,0,76.5,0,0,moving,joint,5777,36,21.96,99.6,C,B2,Nov-2023,Current,whole,Cash,202.97,3208.37,2837.38,497.0,450.66
